transaction_id,transaction_date,product_id,product_name,quantity,unit_price,total_price
R000501,2024-01-01,P038,江崎グリコ ポッキー【半額セール】,1,150,150
R000502,2024-01-01,P043,P&G アリエール洗濯洗剤【閉店セール】,4,800,3200
R000503,2024-01-01,P012,明治 ミルクチョコレート【店頭】＜半額セール＞,8,150,1200
R000504,2024-01-01,P040,クラシエ サッポロ一番［期間限定］,6,210,1260
R000505,2024-01-02,P092,ソニー デジタル一眼レフ α7R IV[半額セール],2,250000,500000
R000506,2024-01-02,P068,バンダイ 仮面ライダーアクションフィギュア,3,3200,9600
R000507,2024-01-03,P008,無印良品 オーガニックコットンシャツ（期間限定）,1,2500,2500
R000508,2024-01-03,P081,LG OLED55C1[期間限定],1,180000,180000
R000509,2024-01-03,P006,花王 アタック洗剤【閉店セール】,1,800,800
R000510,2024-01-03,P048,花王 ソフィ 洗濯柔軟剤,2,300,600
R000511,2024-01-04,P010,タカラトミー ガンダムフィギュア【店頭】【半額セール】,4,3000,12000
R000512,2024-01-04,P007,ユニクロ ヒートテックTシャツ＜期間限定＞,4,1500,6000
R000513,2024-01-04,P046,ロート製薬 ムヒ,3,500,1500
R000514,2024-01-04,P072,バンダイ スーパーロボットアクションフィギュア（半額セール）,2,4000,8000
R000515,2024-01-04,P073,タカラトミー ウルトラマンフィギュア,2,3000,6000
R000516,2024-01-05,P005,キリン 一番搾りビール[期間限定],9,400,3600
R000517,2024-01-05,P036,ハウス食品 カレールウ（半額セール）,3,300,900
R000518,2024-01-06,P077,シャープ スマートウォッチ【店頭】［期間限定］,1,18000,18000
R000519,2024-01-07,P010,タカラトミー ガンダムフィギュア＜半額セール＞,1,3000,3000
R000520,2024-01-07,P032,京セラ DS-300［期間限定］,2,45000,90000
R000521,2024-01-07,P084,シャープ 空気清浄機,1,22000,22000
R000522,2024-01-07,P037,マルちゃん 正麺,8,250,2000
R000523,2024-01-08,P045,大正製薬 サロンパス（ネット）,9,400,3600
R000524,2024-01-08,P018,シャープ 加湿器 HX-50【期間限定】,1,15000,15000
R000525,2024-01-08,P035,ヤクルト 1000＜半額セール＞,6,250,1500
R000526,2024-01-08,P079,パナソニック 電子レンジ,1,15000,15000
R000527,2024-01-09,P008,無印良品 オーガニックコットンシャツ【半額セール】,4,2500,10000
R000528,2024-01-09,P033,日清 どん兵衛,1,220,220
R000529,2024-01-09,P010,タカラトミー ガンダムフィギュア,5,3000,15000
R000530,2024-01-09,P064,クラフトマン ボールペン＜期間限定＞,2,150,300
R000531,2024-01-10,P045,大正製薬 サロンパス[半額セール],8,400,3200
R000532,2024-01-11,P046,ロート製薬 ムヒ（半額セール）,9,500,4500
R000533,2024-01-11,P042,ユニ・チャーム ソフィ【期間限定】,9,350,3150
R000534,2024-01-12,P098,エプソン スキャナー Perfection V39【店頭】＜半額セール＞,1,25000,25000
R000535,2024-01-12,P060,トンボ鉛筆 モノ消しゴム（期間限定）,9,100,900
R000536,2024-01-12,P004,日清 カップヌードル（期間限定）,2,200,400
R000537,2024-01-13,P029,キャノン PIXMA iX6820,1,25000,25000
R000538,2024-01-13,P075,ソニー ワイヤレススピーカー SRS-XB12,1,8000,8000
R000539,2024-01-14,P042,ユニ・チャーム ソフィ,6,350,2100
R000540,2024-01-14,P015,森永 エンゼルパイ【期間限定】,5,300,1500
R000541,2024-01-14,P071,バンダイ デジモンカード【店頭】【半額セール】,3,500,1500
R000542,2024-01-15,P035,ヤクルト 1000【期間限定】,8,250,2000
R000543,2024-01-15,P006,花王 アタック洗剤【店頭】＜半額セール＞,2,800,1600
R000544,2024-01-17,P052,無印良品 リネンシャツ[期間限定],2,2800,5600
