transaction_id,transaction_date,product_id,product_name,quantity,unit_price,total_price
E000501,2024-01-01,P025,ASUS ROG ゲーミングPC【店頭】,1,230000,230000
E000502,2024-01-01,P130,デロンギ コーヒーメーカー マグニフィカS[数量限定],1,59800,59800
E000503,2024-01-01,P030,JBL ポータブルスピーカー Charge 5＜ポイント10倍＞,2,35000,70000
E000504,2024-01-01,P182,再生紙ノート A5 5冊パック[半額セール],6,680,4080
E000505,2024-01-02,P027,日立 冷蔵庫 R-HW54S＜タイムセール＞,1,85000,85000
E000506,2024-01-02,P088,東芝 オーブンレンジ 石窯ドーム[半額セール],1,40000,40000
E000507,2024-01-03,P032,DJI Mini 4 Pro ドローン＜ポイント10倍＞,1,45000,45000
E000508,2024-01-03,P182,再生紙ノート A5 5冊パック（期間限定）,5,680,3400
E000509,2024-01-03,P099,EIZO FlexScan EV2795[期間限定],1,80000,80000
E000510,2024-01-03,P105,Philips Hue スマート照明スターターキット＜ポイント10倍＞,3,9800,29400
E000511,2024-01-04,P128,ティファール 電気ケトル 1.2L,4,4980,19920
E000512,2024-01-04,P041,ハンドソープ キレイキレイ 詰替 3個,2,180,360
E000513,2024-01-04,P083,シャープ AQUOS 50インチ【まとめ買い】,1,90000,90000
E000514,2024-01-04,P118,ネイチャーメイド マルチビタミン 100粒,1,1580,1580
E000515,2024-01-04,P096,HP Spectre x360 16,1,200000,200000
E000516,2024-01-05,P075,アイリスオーヤマ LED シーリングライト（期間限定）,1,8000,8000
E000517,2024-01-05,P018,Anker 充電器 65W【店頭】,1,15000,15000
E000518,2024-01-06,P015,付箋紙 ポストイット 10個[半額セール],1,300,300
E000519,2024-01-07,P055,ニューバランス 574＜ポイント10倍＞,2,4000,8000
E000520,2024-01-07,P060,日清 カップヌードル 20食,3,100,300
E000521,2024-01-07,P002,Apple iPad Pro 12.9インチ（ネット）,1,120000,120000
E000522,2024-01-08,P069,サンワサプライ モニターアーム【セール】,3,1500,4500
E000523,2024-01-08,P156,コンビ チャイルドシート クルムーヴ＜半額セール＞,1,38800,38800
E000524,2024-01-08,P093,コピー用紙 A4 500枚,2,15,30
E000525,2024-01-08,P065,AGF ブレンディスティック 30本[数量限定],8,250,2000
E000526,2024-01-09,P065,AGF ブレンディスティック 30本＜期間限定＞,4,250,1000
E000527,2024-01-09,P021,ダイソン Pure Cool 空気清浄機,1,85000,85000
E000528,2024-01-09,P068,Logicool ウェブカメラ C920【セール】,4,3200,12800
