REVIEW_ID,STORE_ID,REVIEW_DATE,RATING,REVIEW_TEXT,REVIEWER_AGE_GROUP
R001,S052,2025-03-09,2,接客態度がよくない。挨拶がないし、レジ対応も雑に感じることがある。,20代
R002,S017,2024-07-26,4,スタッフの方がフレンドリーで、地域に密着した温かみのあるお店だと思います。,30代
R003,S362,2024-08-26,5,ATMがあるので急にお金が必要な時に助かります。手数料も安いです。,30代
R004,S318,2024-12-29,2,店内が狭くて、他のお客さんとすれ違うのが大変です。カートも使えない広さです。,30代
R005,S282,2024-04-04,5,季節限定のスイーツが毎回楽しみです。特に冬のチョコレート系が美味しいです。,20代
R006,S195,2024-10-29,1,価格が近隣のコンビニと比べて少し高い印象。もう少し安くしてほしい。,20代
R007,S058,2025-06-12,5,セルフレジが導入されてから、レジ待ちが減りました。スムーズに買い物できます。,30代
R008,S180,2025-12-04,1,価格が近隣のコンビニと比べて少し高い印象。もう少し安くしてほしい。,20代
R009,S248,2025-10-25,5,宅配便の受け取りができるようになって、とても便利になりました。,20代
R010,S480,2025-10-30,3,コーヒーは美味しいが、フードメニューのバリエーションが少ない。もっと選びたい。,10代
R011,S355,2025-01-08,5,新商品がいつも早く入荷されるので、新しいもの好きにはたまらない店舗です。,30代
R012,S391,2025-09-04,1,店内が狭くて、他のお客さんとすれ違うのが大変です。カートも使えない広さです。,30代
R013,S252,2024-11-06,4,季節限定のスイーツが毎回楽しみです。特に冬のチョコレート系が美味しいです。,30代
R014,S011,2024-03-20,4,コーヒーの品質が良くて、毎朝ここで買っています。コスパも良いです。,20代
R015,S394,2024-07-25,4,スタッフの方がフレンドリーで、地域に密着した温かみのあるお店だと思います。,30代
R016,S141,2025-10-09,1,夕方になると弁当がほとんど品切れになっている。補充が追いついていない感じがする。,20代
R017,S299,2025-07-16,4,お惣菜のクオリティが高い。手作り感があって、コンビニとは思えない味です。,30代
R018,S399,2025-09-04,1,照明が暗くて、特に夜は入りづらい雰囲気がある。防犯面でも心配です。,30代
R019,S147,2024-04-12,3,清潔感はあるが、売場のレイアウトが分かりにくい。特に初めて来た人は迷うと思う。,20代
R020,S210,2024-04-25,5,おにぎりの品揃えが素晴らしい。特に地域限定の具材が気に入っています。,30代
R021,S235,2024-02-13,3,清潔感はあるが、売場のレイアウトが分かりにくい。特に初めて来た人は迷うと思う。,40代
R022,S158,2025-06-13,2,Wi-Fiがないのが不便。休憩で使いたいのに。近くの他のコンビニにはあるのに。,20代
R023,S482,2024-07-02,5,スタッフの方がフレンドリーで、地域に密着した温かみのあるお店だと思います。,20代
R024,S435,2025-12-15,5,季節限定のスイーツが毎回楽しみです。特に冬のチョコレート系が美味しいです。,50代以上
R025,S434,2024-10-21,1,トイレが汚いことが多い。清掃の頻度を上げてほしい。,20代
R026,S138,2025-08-19,5,24時間営業なので、夜遅くなっても安心です。残業帰りによく利用します。,40代
R027,S121,2024-07-03,5,24時間営業なので、夜遅くなっても安心です。残業帰りによく利用します。,50代以上
R028,S312,2024-03-24,3,駅前で使いやすいのは良いが、混雑時はレジの回転が悪い。もう1台増やしてほしい。,50代以上
R029,S048,2024-09-15,2,夕方になると弁当がほとんど品切れになっている。補充が追いついていない感じがする。,30代
R030,S431,2025-12-12,2,店内が狭くて、他のお客さんとすれ違うのが大変です。カートも使えない広さです。,40代
R031,S478,2024-07-14,4,店員さんの対応がとても丁寧です。いつも気持ちよく買い物できます。,20代
R032,S360,2025-09-24,3,コーヒーは美味しいが、フードメニューのバリエーションが少ない。もっと選びたい。,10代
R033,S060,2024-08-25,5,新商品がいつも早く入荷されるので、新しいもの好きにはたまらない店舗です。,30代
R034,S183,2025-07-12,5,お惣菜のクオリティが高い。手作り感があって、コンビニとは思えない味です。,40代
R035,S337,2025-07-23,2,トイレが汚いことが多い。清掃の頻度を上げてほしい。,40代
R036,S109,2025-06-02,5,店員さんの対応がとても丁寧です。いつも気持ちよく買い物できます。,40代
R037,S034,2024-02-25,5,おにぎりの品揃えが素晴らしい。特に地域限定の具材が気に入っています。,20代
R038,S429,2024-02-18,3,立地は便利だけど、品揃えがもう少し充実してほしい。特にパンの種類が少ない。,30代
R039,S430,2024-01-12,4,駅から近くて便利です。通勤途中に毎日寄っています。,20代
R040,S491,2024-10-21,5,スタッフの方がフレンドリーで、地域に密着した温かみのあるお店だと思います。,30代
R041,S198,2024-02-22,2,照明が暗くて、特に夜は入りづらい雰囲気がある。防犯面でも心配です。,20代
R042,S215,2024-04-08,5,イートインスペースが快適です。ちょっとした休憩に最適です。,50代以上
R043,S279,2024-08-18,5,セルフレジが導入されてから、レジ待ちが減りました。スムーズに買い物できます。,30代
R044,S122,2025-03-25,4,宅配便の受け取りができるようになって、とても便利になりました。,20代
R045,S041,2025-05-02,3,清潔感はあるが、売場のレイアウトが分かりにくい。特に初めて来た人は迷うと思う。,50代以上
R046,S008,2024-08-01,3,基本的には満足しているが、夜間のスタッフの対応に差がある。研修を強化してほしい。,30代
R047,S489,2025-06-07,5,店員さんの対応がとても丁寧です。いつも気持ちよく買い物できます。,40代
R048,S328,2025-02-11,5,駅から近くて便利です。通勤途中に毎日寄っています。,40代
R049,S073,2024-02-04,5,店員さんの対応がとても丁寧です。いつも気持ちよく買い物できます。,30代
R050,S370,2024-02-14,5,宅配便の受け取りができるようになって、とても便利になりました。,40代
R051,S321,2024-05-04,1,店内が狭くて、他のお客さんとすれ違うのが大変です。カートも使えない広さです。,30代
R052,S188,2025-11-17,5,スタッフの方がフレンドリーで、地域に密着した温かみのあるお店だと思います。,40代
R053,S413,2024-12-30,2,夕方になると弁当がほとんど品切れになっている。補充が追いついていない感じがする。,20代
R054,S448,2024-08-18,4,セルフレジが導入されてから、レジ待ちが減りました。スムーズに買い物できます。,50代以上
R055,S459,2024-03-22,2,トイレが汚いことが多い。清掃の頻度を上げてほしい。,50代以上
R056,S345,2024-04-05,5,店内がいつも清潔で、気持ちよく利用しています。トイレもきれいです。,20代
R057,S276,2024-04-04,3,駅前で使いやすいのは良いが、混雑時はレジの回転が悪い。もう1台増やしてほしい。,30代
R058,S397,2024-01-07,3,コーヒーは美味しいが、フードメニューのバリエーションが少ない。もっと選びたい。,20代
R059,S359,2024-05-25,3,コーヒーは美味しいが、フードメニューのバリエーションが少ない。もっと選びたい。,30代
R060,S400,2024-10-23,1,お弁当の消費期限が短い商品が多く、買うタイミングが難しい。,20代
R061,S252,2024-05-20,2,トイレが汚いことが多い。清掃の頻度を上げてほしい。,30代
R062,S142,2024-12-21,3,清潔感はあるが、売場のレイアウトが分かりにくい。特に初めて来た人は迷うと思う。,20代
